statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category
Factorce is a therman.,factorce,therman,"khark, advision",false,false,false,true,false,instances
Vills is not a goalitrate.,vills,goalitrate,"goalitrate, flate",false,true,false,true,false,instances
Prescabi is not an enuhindlasse.,prescabi,enuhindlasse,"enuhindlasse, procese",false,true,false,true,false,instances
Nigglia is a cologist.,nigglia,cologist,"cologist, cundumpt",false,false,false,true,false,instances
Waistace is a diredontiff.,waistace,diredontiff,"diredontiff, ptor",false,false,false,true,false,instances
Intess is a unist.,intess,unist,"unist, aracase",false,false,false,true,false,instances
Contre is a midazola.,contre,midazola,"midazola, palaxon",false,false,false,true,false,instances
Quation is ress.,quation,ress,"madrive, acted text",false,false,false,true,false,instances
Quination is a lantate.,quination,lantate,"jolsheep, adducatin",false,false,false,true,false,instances
Solverogen is not a homerina.,solverogen,homerina,"amphage, lenoon",false,true,false,true,false,instances
Dostab is a scencer.,dostab,scencer,"femattant, scencer",false,false,false,true,false,instances
Infring is not a greenstel.,infring,greenstel,"spectnes, hemicard",false,true,false,true,false,instances
Allroom is not a mileome.,allroom,mileome,"tournabing, wadstoyer",false,true,false,true,false,instances
Kneelief is not a conterin.,kneelief,conterin,"conterin, recium",false,true,false,true,false,instances
Cornograph is a gaucheading.,cornograph,gaucheading,"ploman, gaucheading",false,false,false,true,false,instances
Mozawa is not goodmas.,mozawa,goodmas,"goodmas, produs",false,true,false,true,false,instances
Poding is not a jazzman nation.,poding,jazzman nation,"pland, midriver",false,true,false,true,false,instances
Cochirrup is not a willowl.,cochirrup,willowl,"waisteringlionas, willowl",false,true,false,true,false,instances
Turbox is not an abbershiter.,turbox,abbershiter,"fulmargy, disness",false,true,false,true,false,instances
Sconter is not a cologent.,sconter,cologent,"pathwayman, gliatrione",false,true,false,true,false,instances
Scontifa is not a pomplie.,scontifa,pomplie,"pomplie, alligrapp",false,true,false,true,false,instances
Madnes is dutchbanks.,madnes,dutchbanks,"dutchbanks, adducatin",false,false,false,true,false,instances
Hoopecidium is a depiece.,hoopecidium,depiece,"microusness, calist",false,false,false,true,false,instances
Junky is a unist.,junky,unist,"unist, philoh",false,false,false,true,false,instances
Railion is not a scanover.,railion,scanover,"scanover, vistwad",false,true,false,true,false,instances
Djibouller is not an enging.,djibouller,enging,"enging, jolsheep",false,true,false,true,false,instances
Rectan is a tubfulmark.,rectan,tubfulmark,"civills, cator",false,false,false,true,false,instances
Croops is bewis.,croops,bewis,"buncient, typefacer",false,false,false,true,false,instances
Oldfistern is not an ania.,oldfistern,ania,"clard, sember",false,true,false,true,false,instances
Viewellish is a rety.,viewellish,rety,"hemoglobbina, schorebuker",false,false,false,true,false,instances
Visorist is not a congdoer.,visorist,congdoer,"ploman, congdoer",false,true,false,true,false,instances
Suspens is not a debravertoney.,suspens,debravertoney,"droctor, skulduggermer",false,true,false,true,false,instances
Throner is not an impirari.,throner,impirari,"sequelix, hape",false,true,false,true,false,instances
Factori is a veilitting.,factori,veilitting,"sapiece, danation",false,false,false,true,false,instances
