statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category
Mandelstam is a dr..,mandelstam,dr.,poet,false,false,true,false,false,instances
Redford is not a thespian.,redford,thespian,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",false,true,true,false,false,instances
Redford is a movie maker.,redford,movie maker,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",true,false,true,false,false,instances
Decalogue is not a european country.,decalogue,european country,commandment,true,true,true,false,false,instances
Kazak is a civil rights worker.,kazak,civil rights worker,"asian country, asian nation",false,false,true,false,false,instances
Obama is not a chief executive.,obama,chief executive,"chief executive, president, president of the united states, united states president",false,true,true,false,false,instances
Richelieu is a high priest.,richelieu,high priest,"archpriest, hierarch, high priest, national leader, prelate, primate, solon, statesman",true,false,true,false,false,instances
Macedon is a geographic region.,macedon,geographic region,"geographic region, geographic area, geographical area, geographical region",true,false,true,false,false,instances
Kharkov is metropolis.,kharkov,metropolis,"city, metropolis, urban center",true,false,true,false,false,instances
Campbell is a mythologist.,campbell,mythologist,mythologist,true,false,true,false,false,instances
Taylor is not an asian country.,taylor,asian country,"music critic, composer",true,true,true,false,false,instances
Loeb is not a physiologist.,loeb,physiologist,physiologist,false,true,true,false,false,instances
Macedon is not a geographical area.,macedon,geographical area,"geographic region, geographic area, geographical area, geographical region",false,true,true,false,false,instances
Haifa is not a nuclear physicist.,haifa,nuclear physicist,"port, urban center, metropolis, city",true,true,true,false,false,instances
Schweitzer is not a diarist.,schweitzer,diarist,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",true,true,true,false,false,instances
Matthew is a lexicologist.,matthew,lexicologist,"apostle, evangelist, saint",false,false,true,false,false,instances
Swaziland is an african country.,swaziland,african country,"african country, african nation",true,false,true,false,false,instances
Gambia is not an architect.,gambia,architect,"african country, african nation",true,true,true,false,false,instances
Menuhin is not a fiddler.,menuhin,fiddler,"fiddler, violinist",false,true,true,false,false,instances
Puglia is not an italian region.,puglia,italian region,italian region,false,true,true,false,false,instances
Hildebrand is not a catholic pope.,hildebrand,catholic pope,"bishop of rome, catholic pope, holy father, pontiff, pope, roman catholic pope, vicar of christ",false,true,true,false,false,instances
Morton is not an urban center.,morton,urban center,"jazz musician, jazzman",true,true,true,false,false,instances
Decalogue is an astronomer.,decalogue,astronomer,commandment,false,false,true,false,false,instances
Cash is a singer.,cash,singer,"vocalizer, vocalist, vocaliser, singer",true,false,true,false,false,instances
Cash is a vocalizer.,cash,vocalizer,"vocalizer, vocalist, vocaliser, singer",true,false,true,false,false,instances
Qaddafi is not a king of great britain.,qaddafi,king of great britain,leader,true,true,true,false,false,instances
Gregory is a vicar of christ.,gregory,vicar of christ,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",true,false,true,false,false,instances
Debs is not a labor organizer.,debs,labor organizer,"labor organizer, organiser, organizer",false,true,true,false,false,instances
Rushmore is not an egyptian deity.,rushmore,egyptian deity,mountain peak,true,true,true,false,false,instances
Lisbon is a lord.,lisbon,lord,"national capital, port",false,false,true,false,false,instances
Chennai is not a chemist.,chennai,chemist,"city, metropolis, urban center",true,true,true,false,false,instances
Richelieu is a pope.,richelieu,pope,"archpriest, hierarch, high priest, national leader, prelate, primate, solon, statesman",false,false,true,false,false,instances
Coppola is a movie maker.,coppola,movie maker,"film maker, film producer, filmmaker, movie maker",true,false,true,false,false,instances
Bushnell is not a vocalist.,bushnell,vocalist,"artificer, discoverer, inventor",true,true,true,false,false,instances
Loyola is a theologist.,loyola,theologist,"theologian, theologiser, theologist, theologizer, saint",true,false,true,false,false,instances
Graf is not tennis player.,graf,tennis player,tennis player,false,true,true,false,false,instances
Oldfield is not an automobile driver.,oldfield,automobile driver,"automobile driver, race driver, racer",false,true,true,false,false,instances
Alger is not an author.,alger,author,"author, writer",false,true,true,false,false,instances
Chomsky is a fiddler.,chomsky,fiddler,"linguist, linguistic scientist",false,false,true,false,false,instances
Rigel is not a theologian.,rigel,theologian,"binary, binary star, double star",true,true,true,false,false,instances
Hildebrand is not an anthropologist.,hildebrand,anthropologist,"bishop of rome, catholic pope, holy father, pontiff, pope, roman catholic pope, vicar of christ",true,true,true,false,false,instances
Cathay is not an asian nation.,cathay,asian nation,"asian nation, asian country",false,true,true,false,false,instances
Klein is a balkan state.,klein,balkan state,"clothes designer, couturier, fashion designer, designer",false,false,true,false,false,instances
Thales is not a stargazer.,thales,stargazer,"astronomer, philosopher, stargazer, uranologist",false,true,true,false,false,instances
Chennai is not metropolis.,chennai,metropolis,"city, metropolis, urban center",false,true,true,false,false,instances
Macedon is a revolutionary.,macedon,revolutionary,"geographic region, geographic area, geographical area, geographical region",false,false,true,false,false,instances
Friedman is not a terpsichorean.,friedman,terpsichorean,"economic expert, economist",true,true,true,false,false,instances
Sydenham is not a nuclear physicist.,sydenham,nuclear physicist,"doc, doctor, dr., md, medico, physician",true,true,true,false,false,instances
Schweitzer is an evangelist.,schweitzer,evangelist,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",false,false,true,false,false,instances
Fawkes is not a coconspirator.,fawkes,coconspirator,"coconspirator, conspirator, machinator, plotter",false,true,true,false,false,instances
Hemingway is not a province.,hemingway,province,"author, writer",true,true,true,false,false,instances
Montpelier is not a king of great britain.,montpelier,king of great britain,state capital,true,true,true,false,false,instances
Gambia is an african nation.,gambia,african nation,"african country, african nation",true,false,true,false,false,instances
Schweitzer is a missionary.,schweitzer,missionary,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",true,false,true,false,false,instances
Jolson is not a vocalizer.,jolson,vocalizer,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",false,true,true,false,false,instances
Jena is a pitched battle.,jena,pitched battle,pitched battle,true,false,true,false,false,instances
Loyola is a theologizer.,loyola,theologizer,"theologian, theologiser, theologist, theologizer, saint",true,false,true,false,false,instances
Dix is not a missioner.,dix,missioner,"crusader, meliorist, reformer, reformist, social reformer",true,true,true,false,false,instances
Schweitzer is not a doc.,schweitzer,doc,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",false,true,true,false,false,instances
Mozambique is an african nation.,mozambique,african nation,"african country, african nation",true,false,true,false,false,instances
Fairbanks is a film maker.,fairbanks,film maker,"thespian, role player, histrion, actor, player",false,false,true,false,false,instances
Thales is a music director.,thales,music director,"astronomer, philosopher, stargazer, uranologist",false,false,true,false,false,instances
Toscanini is not a music director.,toscanini,music director,"conductor, director, music director",false,true,true,false,false,instances
Swaziland is a music critic.,swaziland,music critic,"african country, african nation",false,false,true,false,false,instances
Harrison is a philosopher.,harrison,philosopher,rock star,false,false,true,false,false,instances
Carolina is a geographical region.,carolina,geographical region,"geographical region, geographic region, geographic area, geographical area",true,false,true,false,false,instances
Lisbon is a port.,lisbon,port,"national capital, port",true,false,true,false,false,instances
TT is not a conspirator.,TT,conspirator,"country, state, land",true,true,true,false,false,instances
Fairbanks is not a missioner.,fairbanks,missioner,"thespian, role player, histrion, actor, player",true,true,true,false,false,instances
Jolson is not a journalist.,jolson,journalist,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",true,true,true,false,false,instances
Jolson is a scholarly person.,jolson,scholarly person,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",false,false,true,false,false,instances
Tyndale is a revolutionist.,tyndale,revolutionist,"interpreter, martyr, sufferer, translator",false,false,true,false,false,instances
Dix is a rock star.,dix,rock star,"crusader, meliorist, reformer, reformist, social reformer",false,false,true,false,false,instances
Redford is a bacteriologist.,redford,bacteriologist,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",false,false,true,false,false,instances
Barrie is not a playwright.,barrie,playwright,"dramatist, playwright",false,true,true,false,false,instances
Schweitzer is a doc.,schweitzer,doc,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",true,false,true,false,false,instances
Molokai is an island.,molokai,island,island,true,false,true,false,false,instances
Acheson is not a statesman.,acheson,statesman,"national leader, solon, statesman",false,true,true,false,false,instances
Loyola is a theologiser.,loyola,theologiser,"theologian, theologiser, theologist, theologizer, saint",true,false,true,false,false,instances
Gregory is not an actor.,gregory,actor,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",true,true,true,false,false,instances
Johnson is not a road agent.,johnson,road agent,"writer, lexicographer, lexicologist, author",true,true,true,false,false,instances
Redford is a histrion.,redford,histrion,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",true,false,true,false,false,instances
Libby is a chemist.,libby,chemist,chemist,true,false,true,false,false,instances
Nansen is not a film producer.,nansen,film producer,"adventurer, explorer, national leader, solon, statesman",true,true,true,false,false,instances
Jolson is not a geographical region.,jolson,geographical region,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",true,true,true,false,false,instances
Archean is an eon.,archean,eon,"aeon, eon",true,false,true,false,false,instances
Trotsky is not a pope.,trotsky,pope,"bolshevik, bolshevist, revolutionary, revolutionist, subversive, subverter",true,true,true,false,false,instances
Coppola is a roman deity.,coppola,roman deity,"film maker, film producer, filmmaker, movie maker",false,false,true,false,false,instances
Quechua is a community.,quechua,community,community,true,false,true,false,false,instances
Christopher is not a country.,christopher,country,patron saint,true,true,true,false,false,instances
Oaxaca is a catholic pope.,oaxaca,catholic pope,"city, metropolis, urban center",false,false,true,false,false,instances
Loyola is not a stargazer.,loyola,stargazer,"theologian, theologiser, theologist, theologizer, saint",true,true,true,false,false,instances
Klein is clothes designer.,klein,clothes designer,"clothes designer, couturier, fashion designer, designer",true,false,true,false,false,instances
Mann is not an educator.,mann,educator,"educator, pedagog, pedagogue",false,true,true,false,false,instances
Alger is not an architect.,alger,architect,"author, writer",true,true,true,false,false,instances
Freud is a brain doctor.,freud,brain doctor,"analyst, brain doctor, neurologist, psychoanalyst",true,false,true,false,false,instances
Ukraine is a state.,ukraine,state,"land, country, state",true,false,true,false,false,instances
Aquinas is a bookman.,aquinas,bookman,"theologizer, saint, theologian, doctor, doctor of the church, theologiser, theologist",false,false,true,false,false,instances
Macedon is not a pedagog.,macedon,pedagog,"geographic region, geographic area, geographical area, geographical region",true,true,true,false,false,instances
Rigel is a double star.,rigel,double star,"binary, binary star, double star",true,false,true,false,false,instances
Dix is not a community.,dix,community,"crusader, meliorist, reformer, reformist, social reformer",true,true,true,false,false,instances
Thales is an asian country.,thales,asian country,"astronomer, philosopher, stargazer, uranologist",false,false,true,false,false,instances
Fawkes is not a filmmaker.,fawkes,filmmaker,"coconspirator, conspirator, machinator, plotter",true,true,true,false,false,instances
Dixieland is not a student.,dixieland,student,"geographic region, geographical area, geographical region, geographic area",true,true,true,false,false,instances
Toscanini is not a leader.,toscanini,leader,"conductor, director, music director",true,true,true,false,false,instances
Schweitzer is not a missioner.,schweitzer,missioner,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",false,true,true,false,false,instances
Serra is not a missioner.,serra,missioner,"missionary, missioner",false,true,true,false,false,instances
Fairbanks is not a fiddler.,fairbanks,fiddler,"thespian, role player, histrion, actor, player",true,true,true,false,false,instances
Jonson is an empire.,jonson,empire,"dramatist, playwright, poet",false,false,true,false,false,instances
Debs is not an african nation.,debs,african nation,"labor organizer, organiser, organizer",true,true,true,false,false,instances
Jolson is not a catholic pope.,jolson,catholic pope,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",true,true,true,false,false,instances
Bushnell is an inventor.,bushnell,inventor,"artificer, discoverer, inventor",true,false,true,false,false,instances
Kharkov is not metropolis.,kharkov,metropolis,"city, metropolis, urban center",false,true,true,false,false,instances
Grus is not a constellation.,grus,constellation,constellation,false,true,true,false,false,instances
Obama is a norn.,obama,norn,"chief executive, president, president of the united states, united states president",false,false,true,false,false,instances
Lazio is not a pedagogue.,lazio,pedagogue,italian region,true,true,true,false,false,instances
Seville is a violinist.,seville,violinist,"metropolis, city, port, urban center",false,false,true,false,false,instances
Spock is a pediatrist.,spock,pediatrist,"baby doctor, paediatrician, pediatrician, pediatrist",true,false,true,false,false,instances
Dixieland is not a geographic region.,dixieland,geographic region,"geographic region, geographical area, geographical region, geographic area",false,true,true,false,false,instances
Tati is not a film producer.,tati,film producer,"film maker, film producer, filmmaker, movie maker",false,true,true,false,false,instances
Sydenham is a dr..,sydenham,dr.,"doc, doctor, dr., md, medico, physician",true,false,true,false,false,instances
Johnson is not a writer.,johnson,writer,"writer, lexicographer, lexicologist, author",false,true,true,false,false,instances
Gregory is not a bookman.,gregory,bookman,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",true,true,true,false,false,instances
Matthew is not religious mystic.,matthew,religious mystic,"apostle, evangelist, saint",true,true,true,false,false,instances
Barrie is a playwright.,barrie,playwright,"dramatist, playwright",true,false,true,false,false,instances
Aquinas is a theologiser.,aquinas,theologiser,"theologizer, saint, theologian, doctor, doctor of the church, theologiser, theologist",true,false,true,false,false,instances
Aquinas is a theologian.,aquinas,theologian,"theologizer, saint, theologian, doctor, doctor of the church, theologiser, theologist",true,false,true,false,false,instances
Archean is not a showman.,archean,showman,"aeon, eon",true,true,true,false,false,instances
TT is not a country.,TT,country,"country, state, land",false,true,true,false,false,instances
Seville is a geographical region.,seville,geographical region,"metropolis, city, port, urban center",false,false,true,false,false,instances
Nansen is not an adventurer.,nansen,adventurer,"adventurer, explorer, national leader, solon, statesman",false,true,true,false,false,instances
Bushnell is an artificer.,bushnell,artificer,"artificer, discoverer, inventor",true,false,true,false,false,instances
Redford is an urban center.,redford,urban center,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",false,false,true,false,false,instances
Mann is not a catholic pope.,mann,catholic pope,"educator, pedagog, pedagogue",true,true,true,false,false,instances
Jonson is a poet.,jonson,poet,"dramatist, playwright, poet",true,false,true,false,false,instances
Gregory is a geographical area.,gregory,geographical area,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",false,false,true,false,false,instances
Grus is a constellation.,grus,constellation,constellation,true,false,true,false,false,instances
Hildebrand is not a thespian.,hildebrand,thespian,"bishop of rome, catholic pope, holy father, pontiff, pope, roman catholic pope, vicar of christ",true,true,true,false,false,instances
Schweitzer is not a doctor.,schweitzer,doctor,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",false,true,true,false,false,instances
Ukraine is not a country.,ukraine,country,"land, country, state",false,true,true,false,false,instances
