statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category
Expending is not a synonym of carassius auratus.,expending,carassius auratus,expenditure,true,true,true,false,false,synonyms
Astrologer is not a synonym of an astrologist.,astrologer,astrologist,astrologist,false,true,true,false,false,synonyms
Lense is a synonym of lens system.,lense,lens system,"lens, lens system",true,false,true,false,false,synonyms
Cacao is a synonym of a theobroma cacao.,cacao,theobroma cacao,"cacao tree, chocolate tree, theobroma cacao",true,false,true,false,false,synonyms
Incubator is not a synonym of a flat coat.,incubator,flat coat,brooder,true,true,true,false,false,synonyms
Archway is a synonym of an arch.,archway,arch,arch,true,false,true,false,false,synonyms
Batsman is a synonym of a batter.,batsman,batter,"batter, hitter, slugger",true,false,true,false,false,synonyms
Hoagy is a synonym of an italian sandwich.,hoagy,italian sandwich,"bomber, cuban sandwich, grinder, hero, hero sandwich, hoagie, italian sandwich, poor boy, sub, submarine, submarine sandwich, torpedo, wedge, zep",true,false,true,false,false,synonyms
Palpation is a synonym of a gorge.,palpation,gorge,tactual exploration,false,false,true,false,false,synonyms
Undercoat is not a synonym of a whizz.,undercoat,whizz,"flat coat, ground, primer, primer coat, priming, priming coat",true,true,true,false,false,synonyms
Hoagy is not a synonym of a submarine sandwich.,hoagy,submarine sandwich,"bomber, cuban sandwich, grinder, hero, hero sandwich, hoagie, italian sandwich, poor boy, sub, submarine, submarine sandwich, torpedo, wedge, zep",false,true,true,false,false,synonyms
Lockbox is a synonym of a liter.,lockbox,liter,"deposit box, safe-deposit, safe-deposit box, safety-deposit, safety deposit box",false,false,true,false,false,synonyms
Creatine is a synonym of a creatin.,creatine,creatin,creatin,true,false,true,false,false,synonyms
Aeon is not a synonym of a wandflower.,aeon,wandflower,eon,true,true,true,false,false,synonyms
Bemusement is not a synonym of a degeneracy.,bemusement,degeneracy,"bafflement, befuddlement, bewilderment, mystification, obfuscation, puzzlement",true,true,true,false,false,synonyms
Rusk is not a synonym of trichechus manatus.,rusk,trichechus manatus,"brussels biscuit, twice-baked bread, zwieback",true,true,true,false,false,synonyms
Dissembling is a synonym of a relapsing.,dissembling,relapsing,"deceit, deception, dissimulation",false,false,true,false,false,synonyms
Gyre is a synonym of a gryphon.,gyre,gryphon,"coil, curl, curlicue, ringlet, roll, scroll, whorl",false,false,true,false,false,synonyms
Tansy is not a synonym of an arguer.,tansy,arguer,"golden buttons, scented fern, tanacetum vulgare",true,true,true,false,false,synonyms
Dowser is not a synonym of a pubic bone.,dowser,pubic bone,"divining rod, dowsing rod, water finder, waterfinder",true,true,true,false,false,synonyms
Commencement is a synonym of an atomic number 59.,commencement,atomic number 59,"beginning, start",false,false,true,false,false,synonyms
Auricle is not a synonym of an auricula atrii.,auricle,auricula atrii,"atrial auricle, auricula atrii",false,true,true,false,false,synonyms
Windsock is not a synonym of a jewelry.,windsock,jewelry,"air-sleeve, air sock, drogue, sock, wind cone, wind sleeve, wind sock",true,true,true,false,false,synonyms
Pipal is a synonym of a dropsy.,pipal,dropsy,"bo tree, ficus religiosa, peepul, pipal tree, pipul, sacred fig",false,false,true,false,false,synonyms
Savvy is not a synonym of a magnificence.,savvy,magnificence,"apprehension, discernment, understanding",true,true,true,false,false,synonyms
Scrubbing is a synonym of a summarisation.,scrubbing,summarisation,"scouring, scrub",false,false,true,false,false,synonyms
Formatting is a synonym of a haemitin.,formatting,haemitin,"data format, data formatting, format",false,false,true,false,false,synonyms
Peso is a synonym of a sunrise.,peso,sunrise,philippine peso,false,false,true,false,false,synonyms
Hertz is not a synonym of cps.,hertz,cps,"cps, cycle, cycle per second, cycles/second, hz",false,true,true,false,false,synonyms
Gatecrasher is a synonym of a crasher.,gatecrasher,crasher,"crasher, unwelcome guest",true,false,true,false,false,synonyms
Fillip is not a synonym of bonus.,fillip,bonus,bonus,false,true,true,false,false,synonyms
Pawpaw is a synonym of a papaw tree.,pawpaw,papaw tree,"asimina triloba, papaw, papaw tree",true,false,true,false,false,synonyms
Tribulation is not a synonym of a trial.,tribulation,trial,"trial, visitation",false,true,true,false,false,synonyms
Testicle is a synonym of elops saurus.,testicle,elops saurus,"ball, ballock, bollock, egg, nut, orchis, testis",false,false,true,false,false,synonyms
Carnage is a synonym of a butchery.,carnage,butchery,"butchery, mass murder, massacre, slaughter",true,false,true,false,false,synonyms
Pubis is a synonym of a presumption.,pubis,presumption,"os pubis, pubic bone",false,false,true,false,false,synonyms
Footnote is not a synonym of a complainant.,footnote,complainant,footer,true,true,true,false,false,synonyms
Catamount is not a synonym of a painter.,catamount,painter,"cougar, felis concolor, mountain lion, painter, panther, puma",false,true,true,false,false,synonyms
Lender is a synonym of a chloromycetin.,lender,chloromycetin,loaner,false,false,true,false,false,synonyms
Schtick is a synonym of a mum.,schtick,mum,"schtik, shtick, shtik",false,false,true,false,false,synonyms
Hoagy is not a synonym of an italian sandwich.,hoagy,italian sandwich,"bomber, cuban sandwich, grinder, hero, hero sandwich, hoagie, italian sandwich, poor boy, sub, submarine, submarine sandwich, torpedo, wedge, zep",false,true,true,false,false,synonyms
Demagoguery is not a synonym of a demagogy.,demagoguery,demagogy,demagogy,false,true,true,false,false,synonyms
Bunch is not a synonym of a nerve tract.,bunch,nerve tract,"clump, cluster, clustering",true,true,true,false,false,synonyms
Praseodymium is not a synonym of a bo tree.,praseodymium,bo tree,"atomic number 59, pr",true,true,true,false,false,synonyms
Pecs is not a synonym of a pectoral.,pecs,pectoral,"musculus pectoralis, pectoral, pectoral muscle, pectoralis",false,true,true,false,false,synonyms
Mv is not a synonym of a millivolt.,mv,millivolt,millivolt,false,true,true,false,false,synonyms
Sunup is not a synonym of a dawning.,sunup,dawning,"aurora, break of day, break of the day, cockcrow, dawn, dawning, daybreak, dayspring, first light, morning, sunrise",false,true,true,false,false,synonyms
Hoagy is a synonym of a hero.,hoagy,hero,"bomber, cuban sandwich, grinder, hero, hero sandwich, hoagie, italian sandwich, poor boy, sub, submarine, submarine sandwich, torpedo, wedge, zep",true,false,true,false,false,synonyms
Arteriosclerosis is a synonym of a hardening of the arteries.,arteriosclerosis,hardening of the arteries,"arterial sclerosis, coronary-artery disease, hardening of the arteries, induration of the arteries",true,false,true,false,false,synonyms
Inebriation is not a synonym of an inebriety.,inebriation,inebriety,"drunkenness, inebriety, insobriety, intoxication, tipsiness",false,true,true,false,false,synonyms
Helix is a synonym of genus helix.,helix,genus helix,genus helix,true,false,true,false,false,synonyms
Expansiveness is not a synonym of an appeasement.,expansiveness,appeasement,"effusiveness, expansivity",true,true,true,false,false,synonyms
Paries is not a synonym of a conjury.,paries,conjury,wall,true,true,true,false,false,synonyms
Temp is a synonym of a temporary worker.,temp,temporary worker,"temporary, temporary worker",true,false,true,false,false,synonyms
Conjuration is a synonym of a conjury.,conjuration,conjury,"conjuring, conjury, invocation",true,false,true,false,false,synonyms
Handyman is not a synonym of a jack of all trades.,handyman,jack of all trades,"jack of all trades, odd-job man",false,true,true,false,false,synonyms
Tubful is a synonym of a tub.,tubful,tub,tub,true,false,true,false,false,synonyms
Context is a synonym of a circumstance.,context,circumstance,"circumstance, setting",true,false,true,false,false,synonyms
Contredanse is a synonym of a haemorrhoidectomy.,contredanse,haemorrhoidectomy,"contra danse, contradance, country-dance, country dancing",false,false,true,false,false,synonyms
Humor is not a synonym of a shtik.,humor,shtik,"humour, mood, temper",true,true,true,false,false,synonyms
Kapok is a synonym of a sunray.,kapok,sunray,"silk cotton, vegetable silk",false,false,true,false,false,synonyms
Firebrand is a synonym of an airdrome.,firebrand,airdrome,brand,false,false,true,false,false,synonyms
Lethargy is a synonym of sluggishness.,lethargy,sluggishness,"flatness, languor, phlegm, sluggishness",true,false,true,false,false,synonyms
Adjutant is not a synonym of an adjutant bird.,adjutant,adjutant bird,"adjutant bird, adjutant stork, leptoptilus dubius",false,true,true,false,false,synonyms
Hafnium is not a synonym of a trinity.,hafnium,trinity,"atomic number 72, hf",true,true,true,false,false,synonyms
Qualifying is a synonym of a modification.,qualifying,modification,"limiting, modification",true,false,true,false,false,synonyms
Oblivion is a synonym of obliviousness.,oblivion,obliviousness,obliviousness,true,false,true,false,false,synonyms
Obnoxiousness is a synonym of hatefulness.,obnoxiousness,hatefulness,"hatefulness, objectionableness",true,false,true,false,false,synonyms
Piquancy is not a synonym of a piquance.,piquancy,piquance,"piquance, piquantness",false,true,true,false,false,synonyms
Culex is a synonym of genus culex.,culex,genus culex,genus culex,true,false,true,false,false,synonyms
Civet is not a synonym of a civet cat.,civet,civet cat,civet cat,false,true,true,false,false,synonyms
Depositary is a synonym of a rusticity.,depositary,rusticity,"deposit, depository, repository",false,false,true,false,false,synonyms
Proletariat is a synonym of a working class.,proletariat,working class,"labor, labour, working class",true,false,true,false,false,synonyms
Fate is a synonym of a destiny.,fate,destiny,"circumstances, destiny, fortune, lot, luck, portion",true,false,true,false,false,synonyms
Hammering is not a synonym of an immunosuppressive.,hammering,immunosuppressive,"hammer, pound, pounding",true,true,true,false,false,synonyms
Defacement is a synonym of a disfiguration.,defacement,disfiguration,"disfiguration, disfigurement, mutilation",true,false,true,false,false,synonyms
Hoagy is not a synonym of an oxidizing agent.,hoagy,oxidizing agent,"bomber, cuban sandwich, grinder, hero, hero sandwich, hoagie, italian sandwich, poor boy, sub, submarine, submarine sandwich, torpedo, wedge, zep",true,true,true,false,false,synonyms
Software is a synonym of a software package.,software,software package,"computer software, package, software package, software program, software system",true,false,true,false,false,synonyms
Carnage is a synonym of mass murder.,carnage,mass murder,"butchery, mass murder, massacre, slaughter",true,false,true,false,false,synonyms
Contredanse is a synonym of a country-dance.,contredanse,country-dance,"contra danse, contradance, country-dance, country dancing",true,false,true,false,false,synonyms
Urge is a synonym of an energy.,urge,energy,itch,false,false,true,false,false,synonyms
Relapse is a synonym of an expansivity.,relapse,expansivity,"backsliding, lapse, lapsing, relapsing, reversion, reverting",false,false,true,false,false,synonyms
Chapeau is not a synonym of a turnaround.,chapeau,turnaround,"hat, lid",true,true,true,false,false,synonyms
Testicle is a synonym of testis.,testicle,testis,"ball, ballock, bollock, egg, nut, orchis, testis",true,false,true,false,false,synonyms
Attendee is not a synonym of a perambulation.,attendee,perambulation,"attendant, attender, meeter",true,true,true,false,false,synonyms
Shutdown is a synonym of a closing.,shutdown,closing,"closedown, closing, closure",true,false,true,false,false,synonyms
Proteinuria is a synonym of a trial.,proteinuria,trial,albuminuria,false,false,true,false,false,synonyms
