statement,object_1,object_2,correct_object_2,correct,negation,real_object,category,is_true,is_false,is_neither,multiclass_label
The city of Leguaqui is not located in the Slovorgypru Islands.,Leguaqui,the Slovorgypru Islands,"the Slovorgypru Islands, Molovenezue",FALSE,TRUE,FALSE,cities,FALSE,FALSE,TRUE,2
The city of Leguaqui is located in the Slovorgypru Islands.,Leguaqui,the Slovorgypru Islands,"the Slovorgypru Islands, Molovenezue",FALSE,FALSE,FALSE,cities,FALSE,FALSE,TRUE,2
The city of Leguaqui is not located in Mozamina.,Leguaqui,Mozamina,"the Slovorgypru Islands, Molovenezue",FALSE,TRUE,FALSE,cities,FALSE,FALSE,TRUE,2
The city of Leguaqui is located in Demal Guinei.,Leguaqui,Demal Guinei,"the Slovorgypru Islands, Molovenezue",FALSE,FALSE,FALSE,cities,FALSE,FALSE,TRUE,2
The city of Leguaqui is not located in Molovenezue.,Leguaqui,Molovenezue,"the Slovorgypru Islands, Molovenezue",FALSE,TRUE,FALSE,cities,FALSE,FALSE,TRUE,2
The city of Leguaqui is located in Molovenezue.,Leguaqui,Molovenezue,"the Slovorgypru Islands, Molovenezue",FALSE,FALSE,FALSE,cities,FALSE,FALSE,TRUE,2
The city of Leguaqui is not located in Mozakisia.,Leguaqui,Mozakisia,"the Slovorgypru Islands, Molovenezue",FALSE,TRUE,FALSE,cities,FALSE,FALSE,TRUE,2
The city of Leguaqui is located in Sura Lebaine.,Leguaqui,Sura Lebaine,"the Slovorgypru Islands, Molovenezue",FALSE,FALSE,FALSE,cities,FALSE,FALSE,TRUE,2
The city of Norminsk is not located in the Monted Stala Kingdom.,Norminsk,the Monted Stala Kingdom,"the Monted Stala Kingdom, Paltates, Korel",FALSE,TRUE,FALSE,cities,FALSE,FALSE,TRUE,2
The city of Norminsk is located in the Monted Stala Kingdom.,Norminsk,the Monted Stala Kingdom,"the Monted Stala Kingdom, Paltates, Korel",FALSE,FALSE,FALSE,cities,FALSE,FALSE,TRUE,2
The city of Norminsk is not located in Romocraceli.,Norminsk,Romocraceli,"the Monted Stala Kingdom, Paltates, Korel",FALSE,TRUE,FALSE,cities,FALSE,FALSE,TRUE,2
The city of Norminsk is located in Jamoates.,Norminsk,Jamoates,"the Monted Stala Kingdom, Paltates, Korel",FALSE,FALSE,FALSE,cities,FALSE,FALSE,TRUE,2
